PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI_Bucket
18,5,4,8,17,11,0,8,7,1,1,1,3
16,25,11,69,37,11,25,181,16,1,15,2,0
2,7,1,5,3,2,1,5,7,1,1,1,4
1,24,11,20,17,11,1,3,17,0,0,1,3
25,24,4,15,9,20,1,7,49,0,1,1,3
32,24,20,15,20,18,3,14,23,1,14,1,2
4,24,17,40,26,11,38,66,34,2,8,0,0
17,24,3,6,6,7,1,8,46,0,2,2,3
6,11,4,13,16,4,0,21,53,0,1,1,4
72,24,5,33,15,26,0,11,39,0,0,1,0
7,33,6,13,10,9,1,11,15,1,3,1,3
12,24,2,14,7,8,1,44,84,2,3,3,3
18,24,11,20,17,11,0,19,34,0,0,0,3
18,9,4,4,17,11,0,14,34,1,1,1,3
13,27,16,21,30,11,2,26,63,1,1,1,3
4,9,6,9,4,4,0,6,31,0,1,1,4
4,12,3,10,6,10,1,8,32,0,0,0,4
27,24,45,72,34,11,100,76,52,18,21,22,0
75,24,17,34,16,11,3,67,45,0,1,1,1
19,24,4,22,11,25,1,6,43,0,1,1,3
97,24,39,30,56,11,3,10,37,0,0,1,0
18,24,11,20,17,11,3,19,34,1,1,1,3
18,28,28,31,32,10,1,15,88,3,1,3,2
18,24,11,20,62,11,5,19,34,0,0,0,3
40,97,88,66,39,54,2,37,38,2,8,1,1
4,24,4,10,17,11,1,5,13,0,1,1,4
28,24,2,19,16,11,6,92,40,5,8,2,2
10,24,2,15,17,11,1,7,39,0,0,1,4
43,89,25,14,25,11,2,8,19,1,1,1,1
14,21,7,41,10,28,0,47,52,0,0,0,3
14,26,2,36,15,11,6,63,39,0,18,0,2
11,65,11,0,9,2,0,6,29,0,1,1,3
31,24,2,20,12,24,0,9,9,0,0,1,2
11,19,15,26,33,23,3,12,67,1,11,1,3
20,24,4,21,15,5,1,10,29,1,2,1,3
17,27,19,29,22,10,1,10,49,3,5,12,3
17,24,10,14,20,11,1,3,23,0,0,0,2
3,11,53,15,46,10,2,15,1,1,0,1,3
7,24,3,16,10,25,3,3,20,1,1,1,4
18,15,4,5,17,4,0,28,16,1,1,1,4
4,18,27,15,35,11,2,32,32,0,1,1,4
34,57,18,32,28,28,1,23,34,1,10,0,2
11,19,4,21,13,11,1,5,55,0,1,1,4
15,32,1,17,8,24,1,33,30,0,1,0,3
13,23,1,8,4,11,3,27,27,1,1,1,3
18,24,11,20,17,11,3,19,34,1,1,1,3
7,15,3,14,8,8,0,7,31,0,4,0,4
18,26,4,25,13,16,1,7,38,1,1,1,3
18,24,1,3,2,11,13,19,25,1,2,1,3
7,29,2,2,5,12,0,19,38,2,0,1,4
16,61,10,21,16,25,1,15,61,1,8,0,2
1,2,0,1,0,1,0,12,14,0,0,1,5
14,43,3,18,10,15,1,41,56,0,0,0,3
12,14,0,1,0,1,0,10,38,245,245,1,4
11,24,5,10,12,11,1,10,42,1,1,1,3
7,22,4,19,0,18,0,3,37,0,0,1,4
8,21,3,13,7,10,1,11,23,0,1,0,4
18,24,11,20,17,11,0,19,34,1,1,1,3
17,24,14,15,18,18,2,12,22,1,1,1,3
2,9,3,6,6,8,0,9,9,0,0,0,4
37,24,12,13,20,11,26,20,30,0,0,0,0
12,25,5,26,22,14,1,16,90,0,1,1,3
16,24,10,16,10,96,0,8,28,0,1,1,3
10,16,2,15,13,12,0,6,32,1,3,1,4
12,24,6,11,6,83,1,7,28,0,1,1,4
