PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI_Bucket
9,20,8,55,14,16,0,18,14,0,1,8,4
18,24,11,20,17,11,0,19,34,0,0,0,3
11,24,7,9,9,11,11,9,18,1,1,1,2
18,23,6,7,17,4,0,90,15,1,1,1,3
5,11,1,19,8,9,0,8,25,0,4,1,4
8,29,86,0,56,4,1,26,1,1,0,1,3
18,24,11,20,17,11,0,19,34,0,0,0,3
8,26,2,4,3,10,0,15,55,1,1,1,3
18,24,5,11,6,11,2,14,18,1,1,1,3
43,24,2,10,8,11,4,155,59,0,1,0,3
19,25,11,14,19,7,1,11,62,0,4,1,3
8,24,6,10,10,17,2,16,17,1,1,1,4
9,27,5,25,14,7,0,14,19,2,6,5,3
17,28,1,16,7,15,1,36,53,0,2,0,3
6,12,1,5,6,3,0,15,16,12,1,1,5
5,19,2,6,9,5,0,14,16,0,1,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
18,24,11,20,17,11,0,19,34,0,0,0,3
15,20,15,7,17,6,3,47,83,1,1,1,3
26,52,50,56,80,18,1,17,40,14,20,6,2
16,25,3,8,8,7,1,7,43,0,3,3,3
14,24,10,14,11,130,0,11,19,0,2,1,3
9,20,3,13,11,20,0,12,56,0,0,1,4
17,36,6,36,19,12,1,12,27,2,22,11,3
4,17,5,6,17,4,3,4,12,1,1,1,5
23,24,1,7,3,11,0,5,35,0,0,1,3
14,31,14,22,19,4,1,6,32,2,5,3,3
1,1,7,0,8,14,0,10,0,6,6,1,5
3,24,11,20,17,11,0,1,34,1,1,1,3
19,24,4,40,18,11,10,59,39,8,29,14,2
18,24,11,20,17,11,3,19,34,1,1,1,1
70,24,9,47,25,7,1,13,54,2,9,1,0
11,26,23,166,85,11,52,78,32,1,17,0,0
12,19,4,11,11,13,0,15,57,1,3,1,4
13,25,9,19,7,14,0,19,24,0,0,1,3
4,15,10,9,16,11,1,16,21,0,1,1,4
9,12,0,15,12,11,1,11,55,0,0,1,4
18,24,11,20,0,11,0,19,34,0,0,0,3
81,24,26,73,29,11,3,72,34,0,2,3,0
111,24,3,11,17,11,0,5,18,0,0,1,0
7,10,4,5,8,2,2,13,45,0,0,1,4
18,24,4,24,12,11,10,21,40,4,18,0,2
11,27,15,33,31,37,1,17,48,1,8,1,3
21,59,5,21,18,34,1,10,58,0,1,0,3
1,5,4,8,6,0,1,7,29,1,3,2,4
24,24,13,25,19,27,1,7,35,1,8,1,2
16,25,11,0,17,0,1,11,13,1,1,1,4
6,20,5,15,5,6,0,19,27,0,1,0,4
8,15,2,27,23,4,2,1,13,2,3,1,4
24,36,7,8,11,13,1,35,19,3,1,15,3
3,8,11,11,18,9,0,15,23,0,1,1,4
21,24,6,8,8,0,1,8,25,5,7,1,3
37,24,6,13,9,0,2,18,12,2,5,1,1
8,16,6,16,15,35,1,15,22,0,2,1,4
16,22,5,17,10,9,1,11,57,1,1,1,4
11,38,28,20,27,7,1,12,31,0,0,0,3
4,30,1,5,6,5,0,14,19,0,1,1,3
34,24,8,25,16,31,1,5,29,1,8,1,1
24,24,23,86,51,11,51,205,82,8,46,18,0
4,24,3,4,3,15,50,3,6,2,62,1,2
3,8,2,7,7,6,0,6,19,1,7,1,5
17,32,16,37,82,35,2,10,42,1,5,1,2
8,21,7,17,12,9,1,11,17,0,1,0,4
66,86,121,64,39,49,2,30,40,4,9,1,0
69,24,34,32,35,11,2,21,59,1,3,7,0
11,37,4,25,12,11,0,11,34,2,16,4,3
19,29,6,26,5,14,0,10,47,0,0,0,3
29,24,4,6,3,11,1,64,46,0,1,1,2
25,24,2,20,11,24,0,10,8,0,0,1,3
19,24,3,7,5,8,1,9,42,8,2,1,3
19,24,21,56,20,11,47,74,36,2,18,10,0
18,24,11,20,17,11,3,19,34,1,1,1,3
19,30,12,2,10,1,2,52,48,0,1,1,3
17,50,31,11,53,3,1,13,18,2,1,1,3
2,7,11,9,17,7,0,14,9,1,1,1,5
5,14,0,2,3,1,3,5,40,1,1,1,3
8,11,20,28,28,11,1,6,40,0,2,1,4
19,40,4,18,17,2,3,4,25,2,4,13,3
25,24,2,14,12,11,5,82,46,4,7,2,1
18,24,80,20,51,11,2,19,34,0,0,0,3
18,24,11,20,17,11,3,19,34,1,1,1,3
21,24,15,25,2,11,1,8,73,0,1,1,3
40,64,8,3,8,1,3,38,42,0,1,1,1
30,24,4,6,17,11,0,4,15,2,20,1,3
9,11,2,3,3,18,0,22,23,0,1,1,5
12,24,9,17,17,11,2,3,10,0,0,1,3
27,24,10,21,19,31,0,20,34,0,0,1,2
10,24,7,16,10,204,1,15,26,0,0,1,4
36,103,8,3,9,4,6,45,6,0,1,1,1
12,24,9,14,22,11,0,6,2,0,0,0,4
15,28,5,20,17,16,1,14,99,0,2,1,3
24,56,3,7,11,3,0,14,17,0,1,1,4
6,12,4,17,17,6,0,4,21,8,6,4,4
7,30,9,24,11,19,0,5,17,1,1,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
45,24,21,9,12,11,2,40,53,1,12,19,1
13,24,6,25,13,20,1,8,15,0,0,1,4
33,51,10,42,24,12,2,19,65,2,3,3,2
72,24,44,36,45,11,4,22,22,1,5,17,0
18,24,11,20,17,11,0,19,34,0,0,0,3
7,9,0,2,0,2,0,6,32,0,1,1,3
23,24,5,11,12,21,1,12,48,0,0,1,3
4,10,0,3,1,5,0,18,27,0,0,0,5
6,24,12,12,2,19,0,19,34,0,0,1,5
15,34,12,9,15,8,1,12,31,1,1,2,3
12,40,82,3,54,4,1,27,1,1,0,1,3
37,24,43,19,35,11,0,10,32,1,1,1,1
6,16,0,3,1,1,4,5,32,1,1,1,3
18,24,11,20,17,11,0,19,34,0,0,0,3
18,24,11,20,27,11,0,19,34,0,0,0,3
21,24,12,37,20,21,0,11,24,0,0,1,3
14,22,8,21,22,29,2,10,44,1,5,1,3
52,24,31,39,38,9,1,28,18,1,0,1,1
24,35,7,31,18,44,0,11,0,0,0,1,3
7,12,0,10,5,23,2,3,9,0,1,1,4
8,21,6,26,15,7,0,33,16,2,5,4,4
18,24,11,20,17,11,0,19,34,0,0,0,3
15,33,6,19,17,10,1,16,57,0,2,1,3
18,7,5,6,17,4,2,4,7,1,1,1,4
31,24,49,10,50,11,4,21,26,0,0,0,2
38,51,31,18,28,2,2,30,15,1,0,1,2
6,10,1,10,5,2,1,5,27,1,1,1,4
12,23,3,10,6,5,1,9,63,3,1,2,3
12,27,8,49,2,11,0,19,58,0,0,1,3
93,24,5,7,17,11,57,13,6,1,17,1,0
9,24,3,10,9,44,1,5,34,0,2,1,4
21,49,54,32,43,22,1,10,17,2,6,6,3
11,21,5,27,22,10,1,9,29,0,0,1,3
14,30,28,26,25,9,2,14,31,0,2,0,3
69,24,4,8,2,11,2,11,46,0,0,1,0
15,27,6,23,17,12,1,8,50,0,2,1,3
11,31,8,23,15,11,1,5,34,0,0,1,4
16,31,4,55,47,10,2,4,17,2,4,9,3
4,5,11,20,0,11,0,21,34,0,1,1,5
21,24,15,90,43,11,33,120,77,2,18,10,0
9,21,7,21,15,18,1,13,30,1,10,0,4
4,10,6,19,11,9,0,9,9,0,2,1,5
9,24,3,2,1,11,1,54,113,0,6,4,2
20,28,6,7,9,8,0,15,26,1,1,2,3
12,25,9,27,11,19,1,5,36,0,0,1,4
13,32,4,7,6,11,1,14,11,3,11,8,3
5,7,0,1,0,1,0,9,34,0,0,1,4
7,18,7,31,18,0,1,13,34,0,0,1,4
6,15,2,9,4,30,2,2,7,5,1,1,3
18,26,13,9,17,5,2,13,18,1,1,1,4
24,24,6,19,13,21,0,14,51,0,0,1,3
12,24,6,16,10,16,1,9,21,0,3,1,4
4,14,11,3,17,6,1,6,34,1,1,1,4
6,24,14,52,29,11,33,86,34,2,8,0,0
5,11,0,5,2,19,0,11,36,1,0,1,4
87,128,55,55,64,43,3,24,44,4,30,3,0
18,24,11,20,17,11,3,19,34,1,1,1,3
54,83,37,56,31,39,1,31,105,0,2,0,1
8,46,2,19,7,16,1,4,54,1,0,1,3
52,24,8,25,16,39,1,20,25,0,0,1,1
40,79,15,31,27,54,16,8,33,1,3,5,1
24,48,31,2,27,0,2,4,18,2,5,23,2
11,24,20,38,26,11,44,64,7,2,12,0,0
9,25,9,15,12,49,1,14,12,3,0,1,4
17,24,21,7,24,11,1,3,20,0,0,1,3
10,24,11,20,17,11,0,3,30,1,1,1,4
14,35,11,14,17,4,1,5,34,1,1,1,3
3,9,3,4,6,11,0,19,28,1,3,1,5
13,27,3,24,7,11,6,57,45,0,0,0,3
8,13,9,7,13,6,1,20,23,0,0,2,4
13,26,1,23,10,9,0,17,67,0,2,0,3
16,33,7,24,21,17,1,12,61,0,4,1,3
14,25,7,18,13,21,1,19,45,1,9,1,3
21,24,3,8,9,46,1,14,41,0,0,1,3
15,24,5,15,8,28,1,6,29,0,4,1,4
41,55,15,29,26,57,15,7,18,3,3,11,1
11,15,5,6,17,4,3,7,34,1,1,1,4
11,24,20,21,27,11,46,83,42,3,40,2,0
18,24,9,15,8,7,1,16,48,1,5,1,3
17,36,18,23,33,6,0,19,20,3,1,13,3
22,39,11,20,17,11,1,13,10,4,3,15,3
8,24,6,4,8,11,0,10,19,1,1,1,3
4,22,19,6,21,11,2,19,22,0,1,1,4
11,24,15,25,15,11,0,11,30,0,0,0,4
11,31,3,21,10,10,0,12,33,1,11,5,4
26,37,5,29,15,18,1,5,39,1,1,1,2
13,32,16,28,23,10,0,11,18,3,10,5,3
18,24,11,20,17,11,3,19,34,1,1,1,3
11,29,11,7,14,8,1,13,34,0,0,3,3
57,24,51,28,65,11,3,9,13,0,0,1,0
13,30,11,7,13,11,1,26,22,3,1,19,3
18,24,11,20,17,11,3,19,34,1,1,1,3
40,24,35,16,38,42,2,25,29,1,6,1,1
2,3,4,2,5,3,2,9,15,0,0,1,4
26,39,18,20,23,11,1,10,21,1,5,1,2
18,24,12,16,23,11,1,13,9,0,0,0,3
9,24,6,9,8,16,1,13,31,9,1,1,4
44,74,74,79,111,19,2,23,22,3,4,1,1
7,8,0,1,0,2,0,5,41,243,243,1,4
28,62,35,59,30,31,0,15,28,4,7,1,2
26,36,4,33,16,18,1,7,49,1,1,1,3
13,22,3,72,31,11,8,244,43,2,26,2,2
75,24,41,51,35,11,4,45,24,0,2,3,0
9,24,2,14,8,11,0,4,18,0,0,1,4
20,24,2,20,11,24,0,9,7,0,0,1,3
6,19,11,8,14,8,1,25,30,0,1,2,4
4,24,3,9,5,22,32,3,16,1,10,1,3
18,24,11,20,17,11,0,19,34,1,1,1,3
10,24,18,33,24,11,40,33,34,2,14,0,0
18,24,9,7,13,13,3,19,34,0,0,1,3
18,24,11,20,17,11,3,19,34,1,1,1,3
6,7,5,12,13,30,0,6,37,0,0,1,4
22,24,8,20,13,11,1,3,53,0,0,1,3
23,36,5,13,8,11,11,82,23,2,17,3,1
8,21,11,7,15,8,1,12,30,0,1,2,4
9,11,3,6,7,24,0,14,49,0,0,1,4
4,5,11,26,10,1,0,7,11,0,0,1,5
40,24,20,26,37,11,2,11,18,0,0,1,1
18,24,11,20,17,11,3,19,34,1,1,1,3
18,24,11,20,17,11,3,19,34,1,1,1,3
18,24,11,20,206,11,0,19,34,1,1,1,3
16,28,2,26,22,9,2,8,41,1,4,1,3
35,59,12,21,16,11,1,21,35,0,1,1,2
6,24,25,60,38,11,56,57,34,2,8,0,0
13,24,4,10,17,11,1,5,17,0,1,1,4
8,16,23,12,13,8,2,40,34,0,1,1,3
36,54,3,5,2,4,1,14,18,2,4,1,2
9,18,6,17,11,13,1,14,21,0,0,0,4
5,24,9,14,9,39,1,5,22,0,0,1,4
2,6,14,6,17,9,0,11,6,1,1,1,5
2,5,2,6,7,8,0,6,29,0,3,0,5
18,152,5,5,17,4,3,95,57,1,1,1,0
23,46,8,9,10,18,1,16,4,0,1,1,3
16,37,6,29,6,17,0,19,62,0,0,0,3
21,24,8,5,2,11,0,10,70,0,0,1,3
3,4,4,14,14,11,0,20,34,0,1,1,5
18,11,5,7,17,4,1,208,24,1,1,1,3
6,24,0,6,1,1,2,10,54,2,0,1,4
5,8,7,17,20,3,1,15,18,0,0,1,5
9,28,1,21,17,12,0,10,20,0,0,1,4
25,23,7,31,15,18,1,6,34,0,0,1,4
58,24,5,7,17,11,3,5,21,1,15,1,1
18,24,11,20,31,11,0,19,34,0,0,0,3
9,15,3,17,8,6,0,4,23,0,2,2,4
6,24,1,8,4,22,2,3,14,1,0,1,4
13,24,6,10,12,11,13,40,12,0,1,2,3
18,29,4,5,17,4,0,64,22,1,1,1,3
18,24,4,23,2,11,21,19,26,1,2,1,3
18,24,11,20,0,11,0,19,34,0,0,1,3
11,28,1,15,6,8,0,7,53,0,3,0,3
35,24,5,34,15,26,0,13,51,0,0,1,2
22,39,2,26,12,9,1,8,34,2,11,3,3
46,70,15,26,26,44,17,7,16,2,5,5,1
11,19,4,17,14,3,0,4,51,5,4,5,4
47,77,5,20,20,2,1,4,23,4,6,20,1
9,11,3,14,14,86,1,7,19,0,0,1,4
17,24,8,72,25,11,18,121,68,2,7,6,1
4,8,1,6,4,9,0,27,27,0,1,0,5
2,15,4,16,9,6,0,14,21,1,3,3,4
19,42,11,43,25,10,1,3,56,4,10,5,3
21,46,38,29,54,9,1,23,25,2,5,36,3
3,24,2,9,3,3,2,13,20,2,0,1,4
17,24,3,5,4,15,2,2,18,0,1,1,3
19,76,9,28,18,20,1,28,51,1,13,1,2
19,24,3,40,2,11,2,15,74,0,0,1,3
6,16,1,14,7,9,0,11,21,0,1,0,4
18,24,11,20,17,11,0,19,34,0,0,0,3
4,6,0,1,0,2,0,4,33,226,226,1,4
36,24,2,7,4,11,3,10,40,1,1,1,3
14,35,4,13,11,27,4,9,38,0,1,1,3
18,24,1,6,2,11,17,19,35,0,1,1,3
2,3,0,2,0,2,0,16,35,0,0,1,5
3,9,7,12,5,3,0,5,27,0,0,0,4
18,24,11,20,0,11,0,19,34,0,0,0,3
10,27,14,24,21,23,1,13,36,1,16,1,3
37,24,16,73,23,11,2,60,60,0,2,2,1
20,50,15,32,30,32,2,15,58,1,2,0,3
18,19,17,7,17,6,2,20,82,1,1,1,3
34,24,2,10,8,38,2,15,46,1,0,1,2
48,90,78,47,78,33,3,21,38,4,37,4,1
18,24,11,20,17,11,3,19,34,1,1,1,3
20,24,4,14,5,11,1,95,56,6,23,57,2
13,41,5,25,21,17,0,9,40,0,6,1,3
7,15,3,9,12,5,0,21,32,0,1,1,4
18,24,11,20,44,11,0,19,34,0,0,0,3
14,25,16,7,17,6,3,35,35,1,1,1,3
27,54,15,33,33,17,2,27,84,2,7,2,2
18,24,11,20,17,11,3,19,34,1,1,1,3
3,4,0,1,0,1,0,7,1,2,3,1,5
13,24,4,2,2,11,1,55,100,0,8,7,3
12,17,1,8,4,10,0,20,43,0,0,0,4
10,17,6,18,15,10,1,6,44,0,19,1,4
33,24,5,20,12,29,1,11,13,0,1,1,2
3,23,20,27,0,11,0,7,9,0,0,1,4
2,6,2,9,5,7,0,12,16,0,0,0,5
38,57,14,23,26,30,4,23,7,0,1,1,1
5,14,3,21,0,17,0,4,26,0,0,1,4
18,24,11,20,58,11,1,19,34,0,0,0,3
18,24,11,20,17,11,3,19,34,1,1,1,3
18,24,11,20,17,11,0,19,34,1,1,1,3
2,9,4,8,3,2,0,8,31,0,0,0,4
6,15,1,19,9,9,0,4,37,0,4,0,4
5,16,1,14,7,11,0,12,19,0,1,0,4
9,24,6,11,15,3,1,7,37,0,0,1,4
18,24,1,15,7,5,0,9,20,6,1,1,3
20,40,4,56,26,10,1,23,29,0,0,0,3
50,24,10,20,2,11,6,7,50,1,1,1,1
18,24,11,20,17,11,3,19,34,1,1,1,3
6,17,16,36,29,11,36,63,43,1,17,0,0
9,21,7,21,14,30,1,12,31,1,9,1,4
10,12,0,1,0,2,0,10,23,0,0,1,4
12,24,2,6,5,11,0,6,19,0,0,1,4
13,32,8,24,22,9,1,11,83,0,7,1,3
18,24,5,9,9,33,1,8,32,1,5,1,3
12,24,17,9,21,11,2,11,8,0,0,0,3
28,75,6,4,6,4,4,16,7,1,1,1,2
5,8,32,7,28,6,1,16,1,1,0,1,4
18,24,11,20,0,11,0,19,34,0,0,0,3
29,55,12,30,20,11,1,19,72,1,1,1,2
62,24,2,4,17,11,1,11,19,1,18,1,1
11,22,11,20,0,11,0,19,78,0,1,1,3
17,24,4,5,5,115,1,5,19,1,3,1,3
7,25,11,6,17,5,1,5,34,1,1,1,4
11,24,16,27,20,11,36,110,9,2,14,0,0
60,24,15,9,9,11,2,22,46,0,2,5,0
18,24,9,19,23,11,0,8,39,0,10,2,3
18,24,11,20,17,11,3,19,34,1,1,1,3
23,24,19,93,47,11,42,156,41,14,48,20,0
6,18,2,15,0,29,0,5,22,1,1,1,4
9,24,4,1,4,11,10,1,16,0,0,0,3
11,22,1,16,0,20,0,4,52,1,1,1,3
15,41,13,8,7,19,2,43,19,0,0,1,3
17,25,7,35,9,32,0,58,55,0,1,1,3
16,24,18,54,20,11,2,65,67,0,9,9,3
8,21,6,18,13,24,1,12,27,1,11,1,4
6,18,2,18,17,12,0,11,35,0,0,1,3
4,19,2,18,17,12,0,10,17,1,1,1,4
17,29,5,13,10,11,1,28,27,1,3,1,3
18,24,11,20,0,1,0,19,34,1,1,1,3
10,23,18,37,25,8,1,8,16,3,6,10,3
12,26,10,30,26,33,1,18,68,2,17,1,3
11,24,9,10,17,20,0,18,12,3,1,1,4
15,24,8,8,13,11,19,24,20,1,8,7,1
47,70,40,70,71,15,1,22,42,5,10,1,1
15,24,33,59,33,11,2,21,39,1,19,28,3
16,34,8,29,25,27,1,17,40,1,4,1,3
21,34,9,21,16,23,1,21,47,1,12,0,3
18,24,11,20,17,11,0,19,34,0,0,0,3
7,26,4,10,5,22,5,6,11,0,1,1,3
43,24,2,3,3,11,0,2,34,1,1,1,2
14,15,1,29,23,1,1,2,45,0,0,1,4
7,12,9,26,0,16,0,8,7,0,1,1,4
9,18,8,17,20,4,0,19,4,3,1,1,4
3,7,1,12,5,6,0,9,23,0,1,0,5
7,22,1,2,1,1,1,4,34,1,1,1,4
15,24,17,47,28,11,38,74,34,2,16,1,0
41,24,12,26,31,11,2,8,19,0,0,0,1
10,16,1,9,4,10,0,18,41,0,7,0,4
13,33,26,22,39,11,3,21,45,1,1,1,3
66,24,5,7,17,11,21,14,19,0,7,1,1
15,24,1,4,2,11,0,3,20,1,1,1,4
13,17,1,7,7,11,3,16,16,1,1,1,3
15,39,7,6,11,5,1,5,18,4,1,2,3
13,27,6,30,22,26,1,13,47,1,6,1,3
20,29,41,0,35,8,2,4,34,1,1,0,3
6,22,2,19,8,11,1,27,34,3,16,10,4
18,11,3,4,17,4,0,128,40,1,1,1,3
19,35,3,28,13,16,0,6,40,0,1,0,3
5,13,2,10,4,10,0,13,14,0,0,0,4
16,29,6,19,17,16,0,11,62,0,1,1,3
5,11,2,14,7,5,0,4,19,0,2,3,4
40,24,27,23,39,11,2,7,11,0,0,0,1
20,24,4,12,7,81,0,38,42,0,1,1,3
6,17,4,18,0,17,0,4,11,0,0,1,4
6,19,6,14,10,17,0,13,24,0,11,0,4
3,6,5,6,17,4,2,6,8,1,1,1,3
5,6,7,13,16,4,2,14,24,0,0,1,3
13,22,3,18,15,3,0,2,31,12,3,5,3
12,31,5,24,5,11,0,11,53,0,0,0,3
16,24,6,16,17,60,1,20,31,0,0,1,3
18,29,3,23,27,11,1,4,34,0,0,1,3
20,24,20,103,51,11,45,149,41,11,36,16,0
14,42,11,32,21,7,0,8,18,3,12,7,3
8,14,1,7,4,10,0,31,50,0,0,0,4
12,24,8,28,12,3,1,1,41,1,0,1,4
9,21,0,14,5,3,0,28,54,0,0,0,4
15,72,22,20,15,5,4,40,7,0,1,1,3
5,16,1,10,4,11,0,19,56,1,7,1,3
14,20,1,4,3,3,4,22,60,1,1,1,3
12,10,5,13,10,7,1,6,25,0,0,1,4
20,30,4,18,12,11,2,9,18,1,3,1,2
17,41,7,13,16,7,4,16,15,0,1,1,3
13,24,1,3,1,11,2,2,31,1,1,1,4
6,8,4,19,0,17,0,5,10,0,0,1,5
4,12,2,9,7,5,1,8,31,0,1,1,4
12,25,21,21,29,27,1,30,25,1,1,10,4
28,19,8,5,11,3,1,9,40,0,1,8,2
3,9,0,4,2,3,3,11,21,0,0,1,5
9,15,5,13,9,10,1,10,40,1,1,1,4
4,8,1,7,8,3,0,14,4,0,1,1,5
3,9,4,12,12,9,0,7,30,0,0,1,4
4,8,0,14,6,3,0,21,42,0,0,0,4
22,46,34,4,31,9,1,10,24,2,4,21,3
3,7,3,11,11,9,1,6,36,0,0,1,5
7,24,5,10,6,31,1,9,14,0,0,1,4
12,22,12,32,35,20,0,15,37,5,9,3,4
18,24,11,20,17,11,0,19,34,0,0,0,3
8,24,1,9,2,11,3,11,43,0,0,1,3
12,20,6,6,10,8,1,10,34,1,1,2,4
7,13,0,3,2,6,3,18,36,0,0,1,4
17,24,4,14,15,11,10,10,29,2,3,1,3
3,11,0,2,6,1,1,0,18,1,1,1,4
2,7,2,5,3,10,0,7,21,0,0,1,5
16,14,5,10,12,6,0,9,23,0,1,1,3
18,30,4,31,15,14,1,9,50,1,1,1,3
8,18,3,5,6,11,0,19,36,1,3,1,4
17,35,14,38,35,40,1,16,47,1,6,1,3
13,22,7,24,17,39,0,9,15,0,0,1,4
2,7,1,4,2,11,1,6,16,1,1,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
16,37,5,32,16,13,0,22,23,3,31,27,3
9,20,4,9,10,6,0,3,23,2,3,5,4
35,58,3,31,23,38,1,14,68,2,7,1,2
17,19,7,12,15,25,11,13,24,1,2,4,2
18,24,11,20,17,11,3,19,34,1,1,1,3
18,24,11,20,17,11,3,19,34,1,1,1,3
23,86,28,40,37,24,2,26,57,2,18,0,2
2,24,0,1,0,1,0,6,18,0,0,1,3
2,8,1,3,2,11,1,6,2,1,1,1,4
14,24,5,9,11,11,12,21,11,2,4,1,2
4,9,2,5,5,6,0,9,28,0,7,1,4
20,36,7,24,23,38,3,9,57,1,4,1,2
30,24,48,112,75,11,107,160,31,5,23,16,0
18,24,11,20,17,11,3,19,34,1,1,1,3
9,24,20,51,20,11,3,61,56,0,4,10,3
44,87,18,13,20,11,3,9,27,0,2,1,1
6,12,6,15,10,7,1,11,27,1,1,1,4
7,16,5,6,8,7,0,3,13,2,0,20,4
6,10,0,1,0,1,0,7,35,157,158,1,4
24,57,16,7,17,6,3,42,38,1,1,1,3
3,6,3,5,7,2,0,16,4,0,1,1,5
9,13,3,3,3,2,2,5,39,1,1,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
15,30,3,37,17,15,1,7,45,0,3,2,3
42,61,14,35,1,39,1,26,48,1,4,0,1
7,24,5,6,10,11,0,11,15,0,1,0,4
18,127,4,5,17,4,3,132,15,1,1,1,0
13,33,37,49,77,10,0,3,13,6,4,8,3
48,24,16,32,24,31,1,10,37,0,0,1,1
8,24,4,9,11,11,10,5,11,1,5,1,3
3,7,6,6,14,3,0,16,10,0,1,1,5
5,8,1,15,7,9,1,8,39,0,1,2,4
15,33,7,17,13,21,1,22,46,1,7,0,3
5,12,8,19,17,12,1,5,17,0,1,1,4
57,91,4,4,6,0,2,38,31,0,1,1,1
4,19,3,20,0,17,1,5,21,0,0,1,4
18,24,11,20,10,11,0,19,34,0,0,0,3
9,41,5,10,12,4,2,30,4,0,1,1,3
13,21,14,46,26,24,1,7,19,1,0,1,3
18,24,1,8,2,11,17,223,21,1,2,1,3
24,24,5,8,6,11,0,6,18,0,0,1,2
80,115,69,60,75,49,4,19,41,4,38,7,0
19,39,7,18,12,10,1,14,33,0,0,1,3
18,4,1,5,2,12,0,3,34,1,0,1,5
18,24,11,20,17,11,3,19,34,1,1,1,3
34,24,4,12,12,11,10,68,28,2,7,1,2
9,25,6,31,0,17,1,8,59,1,0,1,3
18,75,6,9,17,4,0,72,20,1,1,1,2
10,24,4,16,10,20,1,15,33,0,9,0,3
5,12,5,14,16,14,0,12,32,0,1,1,4
30,24,68,25,77,11,152,57,23,11,28,5,0
7,24,6,19,12,21,1,8,12,0,0,1,4
13,24,5,12,13,26,1,5,23,0,0,1,4
5,19,1,14,7,7,0,9,24,1,1,0,4
20,37,11,16,18,63,4,9,10,0,1,1,3
8,20,4,8,9,7,1,11,27,0,3,1,4
27,64,17,36,36,32,1,22,66,1,2,0,2
12,31,1,15,11,11,1,4,45,0,0,1,3
8,13,8,9,12,6,0,19,18,1,1,10,4
7,16,3,19,16,16,4,11,42,0,2,1,3
2,3,0,1,0,1,0,10,19,0,0,1,5
38,90,29,52,48,47,4,23,67,2,2,0,1
9,24,9,23,15,21,0,10,33,0,0,1,4
23,42,6,7,17,4,0,20,16,1,1,1,3
38,24,11,44,26,26,2,11,38,0,0,1,1
61,24,24,13,30,11,3,1,4,0,0,0,0
12,24,4,21,11,15,1,7,29,0,0,1,3
18,24,11,20,17,11,3,19,34,1,1,1,3
3,8,6,26,6,6,0,5,26,0,0,4,4
31,48,8,18,18,11,2,9,10,1,3,1,2
28,50,12,55,30,9,1,19,112,2,6,5,2
17,26,6,35,18,12,1,16,41,3,5,12,3
8,0,5,5,7,43,1,7,30,0,0,1,4
2,10,2,8,4,8,0,12,17,1,3,1,5
3,10,0,2,3,1,1,1,21,1,1,1,4
30,24,3,2,2,11,2,3,51,1,1,1,2
18,34,11,17,19,11,1,1,40,0,1,1,3
48,69,64,40,62,11,1,27,36,0,0,1,1
15,35,11,26,20,19,1,11,39,1,12,2,3
14,35,13,21,24,19,1,15,46,1,5,1,3
18,24,2,7,8,11,0,5,27,0,3,1,3
18,24,11,20,17,11,3,19,34,0,0,0,3
10,14,0,6,2,3,1,2,57,1,1,1,4
15,28,6,29,15,12,1,7,24,0,4,0,3
14,29,4,20,17,10,1,8,47,0,0,1,3
12,22,5,61,28,11,11,194,40,1,24,2,3
6,24,10,9,16,11,1,2,11,0,0,0,3
18,31,8,13,17,12,0,7,29,5,0,11,3
9,24,20,36,26,11,45,87,34,2,10,0,0
75,101,83,78,31,45,2,33,31,3,8,1,0
22,42,23,75,78,33,1,17,26,7,12,1,3
23,24,8,7,9,18,1,21,51,1,0,1,3
26,55,31,205,107,11,69,19,34,1,15,2,0
18,59,5,6,17,4,0,57,16,1,1,1,3
3,8,5,16,9,15,2,14,8,0,0,1,4
18,24,11,20,3,11,0,19,34,0,0,0,3
3,6,11,8,11,42,0,8,5,2,1,174,5
18,24,5,14,8,116,0,10,54,0,1,1,3
6,29,17,29,37,11,2,28,29,0,1,1,4
7,9,31,4,0,10,0,10,30,0,0,1,4
12,24,5,18,12,11,0,7,17,0,1,1,4
8,16,0,5,2,2,1,9,48,1,1,1,4
6,24,12,23,16,9,1,49,24,2,5,8,3
5,7,1,4,2,1,0,18,36,1,1,1,5
15,25,53,9,37,2,2,28,5,1,0,1,3
18,24,11,20,17,11,3,19,34,1,1,1,3
21,24,2,17,17,11,1,7,31,0,2,1,3
11,22,8,26,23,12,1,16,60,0,3,1,3
19,35,3,28,13,18,0,22,79,0,3,0,3
3,12,3,9,3,3,0,8,28,0,0,0,4
19,40,15,30,28,7,2,12,47,0,4,1,3
18,24,11,20,17,11,3,19,34,1,1,1,3
14,33,11,29,25,15,1,20,39,0,4,1,3
6,18,7,8,11,30,1,8,46,0,0,1,4
9,24,2,5,2,11,0,2,34,1,1,1,4
29,46,19,28,26,21,1,13,29,1,11,1,2
10,35,8,29,18,3,1,9,13,1,2,1,3
16,35,10,34,36,3,1,12,4,4,1,1,3
3,11,4,14,8,7,0,5,17,1,5,1,5
8,14,7,11,14,5,0,19,26,1,1,11,4
12,23,3,23,11,11,0,6,32,0,3,1,3
