MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Label
73,22,157,34,44,56,39,114,104,154,158,1
75,22,157,32,42,55,37,111,104,122,155,1
72,22,157,31,42,54,38,110,103,137,150,1
48,18,144,16,31,43,33,102,98,100,120,1
78,23,157,35,44,58,39,118,104,146,152,1
75,22,159,32,43,55,37,120,103,127,143,2
78,23,162,34,45,56,37,115,104,137,158,2
77,23,163,33,44,56,37,118,104,141,152,2
75,22,163,32,43,54,36,114,103,152,149,2
69,21,161,27,40,51,34,113,102,127,137,2
64,20,159,25,38,50,34,111,102,126,135,2
58,19,156,21,36,48,33,110,101,124,128,2
62,20,157,23,37,50,34,114,101,122,129,2
62,20,157,24,37,49,34,111,101,116,128,2
65,21,159,25,38,50,34,113,103,118,137,2
26,13,138,0,19,30,25,96,91,94,83,2
24,14,131,2,20,35,27,94,91,95,84,2
26,14,130,2,21,35,27,101,91,89,87,2
32,15,132,7,24,38,29,97,92,100,97,2
30,15,130,6,24,36,29,97,94,111,90,2
66,22,151,29,41,54,35,129,101,129,137,2
65,21,156,27,40,52,34,110,102,143,135,2
66,21,158,27,40,52,33,112,102,124,141,2
62,21,157,25,39,50,33,110,100,120,135,2
64,21,159,24,39,50,32,111,101,122,138,2
59,21,161,23,39,49,32,119,101,127,131,2
61,20,160,23,38,49,32,112,100,126,123,2
63,20,161,23,39,49,32,110,100,114,131,2
64,21,166,24,39,50,32,112,101,118,129,2
64,20,167,23,39,50,31,112,101,124,129,2
66,21,168,25,41,51,32,111,102,126,137,2
66,21,169,25,40,51,32,115,102,127,131,2
67,21,171,26,41,52,32,116,103,156,135,2
75,22,176,30,45,56,33,116,104,139,143,2
72,22,176,28,44,54,32,124,103,122,153,2
76,23,179,31,44,56,33,121,104,118,152,2
72,22,179,27,40,53,31,121,103,126,147,2
73,22,182,29,42,54,32,121,104,131,153,2
73,22,180,27,43,54,31,125,103,139,147,2
78,22,184,31,44,56,33,125,105,141,143,2
69,21,180,26,41,52,31,122,103,127,149,2
70,21,180,28,42,54,31,125,103,129,146,2
71,21,180,26,41,53,31,124,103,137,149,2
73,22,185,29,44,56,31,129,104,141,156,2
76,22,186,30,44,56,32,126,105,139,155,2
73,22,185,29,44,56,31,122,104,133,153,2
67,21,182,25,40,52,29,122,103,127,143,2
75,22,186,31,44,56,31,125,105,139,153,2
75,22,185,29,43,55,31,123,105,131,150,2
71,21,185,27,42,54,30,122,104,139,150,2
76,22,187,29,44,56,31,137,105,129,150,2
66,21,182,24,40,52,29,147,103,126,134,2
76,22,187,29,44,56,30,123,105,131,152,2
73,21,186,29,43,55,30,122,104,141,147,2
75,22,187,29,43,56,30,127,105,114,135,2
75,22,188,30,44,56,30,120,105,139,149,2
72,21,187,28,43,55,30,124,104,133,138,2
70,21,185,25,40,53,29,123,103,129,135,2
76,22,188,30,44,56,30,124,104,131,135,2
52,18,176,13,32,44,25,116,100,106,114,2
66,21,182,25,40,53,29,132,102,122,147,2
65,20,183,23,39,52,28,122,102,116,141,2
69,21,186,27,41,54,29,125,104,133,149,2
67,21,186,27,41,55,29,143,103,133,150,2
69,21,187,29,42,56,29,123,104,135,147,2
61,20,182,23,39,52,28,119,101,120,131,2
69,21,185,27,41,55,28,125,103,124,140,2
66,21,185,27,41,55,28,122,103,133,147,2
70,21,186,28,42,56,28,124,103,126,149,2
62,20,180,23,38,52,27,124,101,114,135,2
65,20,184,25,39,53,27,122,102,118,132,2
70,21,186,28,41,56,28,160,102,124,144,2
55,19,179,21,35,50,26,115,100,109,129,2
70,22,186,29,42,56,28,161,103,118,150,2
70,21,187,29,41,56,28,158,103,118,149,2
69,21,186,27,41,56,28,152,103,120,144,2
70,21,188,28,42,56,28,149,103,120,153,2
